CenterRa CenterDec StarDensity
129.9999 +75.00000 11
129.9999 +80.00000 16
129.9999 +85.00000 39
135.0000 -85.00000 46
135.0000 -80.00000 42
135.0000 -75.00000 35
135.0000 -70.00000 31
135.0000 -65.00000 31
135.0000 -60.00000 30
135.0000 -55.00000 29
135.0000 -50.00000 24
135.0000 -45.00000 23
135.0000 -40.00000 11
135.0000 -35.00000 5
135.0000 -30.00000 5
135.0000 -25.00000 4
135.0000 -20.00000 2
135.0000 -15.00000 4
135.0000 -10.00000 5
135.0000 -05.00000 6
135.0000 +00.00000 2
135.0000 +05.00000 4
135.0000 +10.00000 4
135.0000 +15.00000 5
135.0000 +20.00000 4
135.0000 +25.00000 4
135.0000 +30.00000 7
135.0000 +35.00000 9
135.0000 +40.00000 5
135.0000 +45.00000 8
135.0000 +50.00000 8
135.0000 +55.00000 7
135.0000 +60.00000 10
135.0000 +65.00000 16
135.0000 +70.00000 16
135.0000 +75.00000 13
135.0000 +80.00000 16
135.0000 +85.00000 32
139.9999 -85.00000 46
139.9999 -80.00000 39
139.9999 -75.00000 31
139.9999 -70.00000 26
139.9999 -65.00000 25
139.9999 -60.00000 34
139.9999 -55.00000 26
139.9999 -50.00000 15
139.9999 -45.00000 15
139.9999 -40.00000 13
139.9999 -35.00000 5
139.9999 -30.00000 5
139.9999 -25.00000 6
139.9999 -20.00000 4
139.9999 -15.00000 3
139.9999 -10.00000 6
139.9999 -05.00000 7
139.9999 +00.00000 2
139.9999 +05.00000 3
139.9999 +10.00000 2
139.9999 +15.00000 1
139.9999 +20.00000 1
139.9999 +25.00000 3
139.9999 +30.00000 7
139.9999 +35.00000 10
139.9999 +40.00000 8
139.9999 +45.00000 6
139.9999 +50.00000 8
139.9999 +55.00000 9
139.9999 +60.00000 9
139.9999 +65.00000 16
139.9999 +70.00000 15
139.9999 +75.00000 13
139.9999 +80.00000 16
139.9999 +85.00000 32
144.9999 -85.00000 65
144.9999 -80.00000 36
144.9999 -75.00000 28
144.9999 -70.00000 23
144.9999 -65.00000 24
144.9999 -60.00000 26
144.9999 -55.00000 18
144.9999 -50.00000 15
144.9999 -45.00000 13
144.9999 -40.00000 7
144.9999 -35.00000 4
144.9999 -30.00000 5
144.9999 -25.00000 7
144.9999 -20.00000 4
144.9999 -15.00000 2
144.9999 -10.00000 3
144.9999 -05.00000 5
144.9999 +00.00000 4
144.9999 +05.00000 4
144.9999 +10.00000 6
144.9999 +15.00000 2
144.9999 +20.00000 2
144.9999 +25.00000 3
144.9999 +30.00000 3
144.9999 +35.00000 8
144.9999 +40.00000 5
144.9999 +45.00000 3
144.9999 +50.00000 6
144.9999 +55.00000 11
144.9999 +60.00000 10
144.9999 +65.00000 14
144.9999 +70.00000 16
144.9999 +75.00000 11
144.9999 +80.00000 13
144.9999 +85.00000 46
150.0000 -85.00000 65
